#Format: frequency (Hz)  ratio (dB)  phase (deg)
           1     -72.5167      22.9439
     1.00926     -73.0427      22.7148
     1.01861     -73.5602      22.5081
     1.02804     -74.0697      22.3217
     1.03757     -74.5716      22.1542
     1.04718     -75.0664      22.0039
     1.05688     -75.5545      21.8695
     1.06667     -76.0362      21.7499
     1.07654     -76.5118       21.644
     1.08652     -76.9816      21.5509
     1.09658      -77.446      21.4697
     1.10674     -77.9052      21.3996
     1.11699     -78.3595        21.34
     1.12733      -78.809      21.2902
     1.13777      -79.254      21.2497
     1.14831     -79.6946      21.2178
     1.15895     -80.1312      21.1942
     1.16968     -80.5638      21.1784
     1.18052     -80.9926      21.1701
     1.19145     -81.4178      21.1688
     1.20249     -81.8395      21.1742
     1.21362     -82.2578       21.186
     1.22486     -82.6729      21.2039
     1.23621      -83.085      21.2277
     1.24766      -83.494      21.2572
     1.25922     -83.9002      21.2921
     1.27088     -84.3035      21.3321
     1.28265     -84.7043      21.3772
     1.29453     -85.1024      21.4272
     1.30652      -85.498      21.4818
     1.31862     -85.8912       21.541
     1.33083     -86.2821      21.6045
     1.34316     -86.6707      21.6723
      1.3556     -87.0571      21.7443
     1.36816     -87.4413      21.8203
     1.38083     -87.8235      21.9003
     1.39362     -88.2038       21.984
     1.40653      -88.582      22.0716
     1.41955     -88.9584      22.1627
      1.4327     -89.3329      22.2575
     1.44597     -89.7057      22.3558
     1.45937     -90.0767      22.4576
     1.47288      -90.446      22.5627
     1.48652     -90.8136      22.6712
     1.50029     -91.1796      22.7829
     1.51419     -91.5441      22.8979
     1.52821      -91.907      23.0161
     1.54237     -92.2684      23.1374
     1.55665     -92.6284      23.2618
     1.57107     -92.9869      23.3893
     1.58562      -93.344      23.5198
     1.60031     -93.6997      23.6533
     1.61513     -94.0541      23.7898
     1.63009     -94.4072      23.9292
     1.64519     -94.7589      24.0716
     1.66043     -95.1094      24.2169
     1.67581     -95.4586       24.365
     1.69133     -95.8066       24.516
     1.70699     -96.1535      24.6699
     1.72281     -96.4991      24.8267
     1.73876     -96.8435      24.9862
     1.75487     -97.1868      25.1486
     1.77112     -97.5289      25.3138
     1.78753       -97.87      25.4818
     1.80408     -98.2099      25.6526
     1.82079     -98.5487      25.8262
     1.83766     -98.8865      26.0026
