Input File: cm000.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 201
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   101.56 ms
Integration Cycles:  100

    X[Hz]         Mag[dB]         P[deg]     
  1.000000e+03   3.956726e+01  -1.655798e+02 
  1.023293e+03   3.675705e+01  -1.568208e+02 
  1.047129e+03   3.630524e+01  -1.592227e+02 
  1.071519e+03   3.946244e+01  -1.394217e+02 
  1.096478e+03   3.581606e+01  -1.385438e+02 
  1.122018e+03   3.698656e+01  -1.391019e+02 
  1.148154e+03   3.487370e+01  -1.774952e+02 
  1.174898e+03   3.663468e+01  -1.501727e+02 
  1.202264e+03   3.516511e+01  -1.403794e+02 
  1.230269e+03   3.408324e+01  -1.297599e+02 
  1.258925e+03   3.705053e+01  -1.504450e+02 
  1.288250e+03   3.717606e+01  -1.693933e+02 
  1.318257e+03   3.561316e+01  -1.438882e+02 
  1.348963e+03   3.869096e+01  -1.509326e+02 
  1.380384e+03   3.589225e+01  -1.490719e+02 
  1.412538e+03   3.401218e+01  -1.463080e+02 
  1.445440e+03   3.608967e+01  -1.478742e+02 
  1.479108e+03   3.422920e+01  -1.485452e+02 
  1.513561e+03   3.353586e+01  -1.529497e+02 
  1.548817e+03   3.499724e+01  -1.538353e+02 
  1.584893e+03   3.492764e+01  -1.610433e+02 
  1.621810e+03   3.339278e+01  -1.471932e+02 
  1.659587e+03   3.319384e+01  -1.583341e+02 
  1.698244e+03   3.435432e+01  -1.474307e+02 
  1.737801e+03   3.201517e+01  -1.534013e+02 
  1.778279e+03   3.073212e+01  -1.518931e+02 
  1.819701e+03   3.152465e+01  -1.570067e+02 
  1.862087e+03   3.207356e+01  -1.610895e+02 
  1.905461e+03   3.067388e+01  -1.593184e+02 
  1.949845e+03   2.989077e+01  -1.499048e+02 
  1.995262e+03   3.041929e+01  -1.537497e+02 
  2.041738e+03   3.099473e+01  -1.615980e+02 
  2.089296e+03   2.832436e+01  -1.518387e+02 
  2.137962e+03   2.873261e+01  -1.565210e+02 
  2.187762e+03   2.842984e+01  -1.518978e+02 
  2.238721e+03   2.735284e+01  -1.561448e+02 
  2.290868e+03   2.773737e+01  -1.605172e+02 
  2.344229e+03   2.669412e+01  -1.550004e+02 
  2.398833e+03   2.563211e+01  -1.574333e+02 
  2.454709e+03   2.504646e+01  -1.631242e+02 
  2.511886e+03   2.576023e+01  -1.569752e+02 
  2.570396e+03   2.417329e+01  -1.564455e+02 
  2.630268e+03   2.383200e+01  -1.600986e+02 
  2.691535e+03   2.303746e+01  -1.576380e+02 
  2.754229e+03   2.236847e+01  -1.543937e+02 
  2.818383e+03   2.199270e+01  -1.509326e+02 
  2.884031e+03   2.168536e+01  -1.499154e+02 
  2.951209e+03   2.138017e+01  -1.457987e+02 
  3.019952e+03   2.100151e+01  -1.440156e+02 
  3.090295e+03   2.088380e+01  -1.415431e+02 
  3.162278e+03   2.056373e+01  -1.408870e+02 
  3.235937e+03   2.068332e+01  -1.411242e+02 
  3.311311e+03   2.032762e+01  -1.381802e+02 
  3.388442e+03   2.029737e+01  -1.372910e+02 
  3.467368e+03   2.028344e+01  -1.354140e+02 
