#Format: frequency (Hz)  ratio (dB)  phase (deg)
           1      -83.765      -145.14
      1.0093      -84.288       -144.8
      1.0186      -84.803      -144.45
       1.028      -85.308      -144.09
      1.0376      -85.805      -143.72
      1.0472      -86.295      -143.35
      1.0569      -86.777      -142.96
      1.0667      -87.251      -142.57
      1.0765      -87.719      -142.17
      1.0865      -88.181      -141.76
      1.0966      -88.637      -141.35
      1.1067      -89.087      -140.92
       1.117      -89.531      -140.49
      1.1273      -89.969      -140.05
      1.1378      -90.403       -139.6
      1.1483      -90.831      -139.14
      1.1589      -91.255      -138.67
      1.1697      -91.674      -138.19
      1.1805      -92.089       -137.7
      1.1914      -92.499       -137.2
      1.2025      -92.905      -136.69
      1.2136      -93.307      -136.17
      1.2249      -93.705      -135.64
      1.2362      -94.098      -135.09
      1.2477      -94.488      -134.54
      1.2592      -94.874      -133.97
      1.2709      -95.256      -133.39
      1.2827      -95.634       -132.8
      1.2945      -96.008      -132.19
      1.3065      -96.378      -131.57
      1.3186      -96.745      -130.94
      1.3308      -97.107      -130.29
      1.3432      -97.466      -129.63
      1.3556      -97.821      -128.95
      1.3682      -98.172      -128.25
      1.3808      -98.519      -127.53
      1.3936      -98.862       -126.8
      1.4065      -99.201      -126.05
      1.4196      -99.535      -125.28
      1.4327      -99.865      -124.49
       1.446      -100.19      -123.67
      1.4594      -100.51      -122.84
      1.4729      -100.83      -121.98
      1.4865      -101.14       -121.1
      1.5003      -101.44      -120.19
      1.5142      -101.74      -119.26
      1.5282      -102.03       -118.3
      1.5424      -102.32      -117.31
      1.5567       -102.6      -116.29
      1.5711      -102.87      -115.24
      1.5856      -103.13      -114.16
      1.6003      -103.38      -113.05
      1.6151      -103.63       -111.9
      1.6301      -103.86      -110.72
      1.6452      -104.09       -109.5
      1.6604       -104.3      -108.24
      1.6758       -104.5      -106.94
      1.6913      -104.68      -105.61
       1.707      -104.85      -104.23
      1.7228         -105      -102.82
      1.7388      -105.13      -101.37
      1.7549      -105.23     -99.8751
      1.7711      -105.32     -98.3482
      1.7875      -105.37     -96.7892
      1.8041       -105.4     -95.2021
      1.8208      -105.39     -93.5938
      1.8377      -105.34     -91.9729
      1.8547      -105.24     -90.3537
      1.8719       -105.1     -88.7529
